OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR503.5BACT45411:SR,2024-04-29,,,31ORWUNT_WQX-OR503.5BACT,STORET-1052769731,,,,Escherichia coli,Filterable,10,MPN,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223-B,APHA,9223 B ~ Enzyme substrate assay for measuring total coliforms and E. coli (ONPG-MUG test or CPRG-MUG test),,DATA,https://www.nemi.gov/methods/method_summary/5583/,,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-OR503.5BACT45411%3ASR/results/1052769731/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR640M:20240521:1030:SRR,2024-05-21,10:30:00,EDT,31ORWUNT_WQX-OR640M,STORET-1046729646,,,,Manganese,"Unfiltered, field",70.2,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,,https://www.nemi.gov/methods/method_summary/4690/,Virginia Division of Consolidated Lab Service,2024-06-06,,,,,,,,,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR374.2M:20240523:1030:SRR,2024-05-23,10:30:00,EDT,31ORWUNT_WQX-OR374.2M,STORET-1046728920,,Not Detected,,Silver,"Unfiltered, field",,,U,Final,,Actual,,,,,,,,,,LF based on DCLS 'T' qualifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,,https://www.nemi.gov/methods/method_summary/4665/,Virginia Division of Consolidated Lab Service,2024-06-06,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-OR374.2M%3A20240523%3A1030%3ASRR/results/1046728920/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR544.8M:20240521:1330:SFST,2024-05-21,13:30:00,EDT,31ORWUNT_WQX-OR544.8M,STORET-1046729201,,Between Inst Detect and Quant Limit,,Arsenic,"Filtered, field",,,EST,Accepted,,Actual,,,,,,,,,,LF based on DCLS QQ qualifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,,https://www.nemi.gov/methods/method_summary/4665/,Virginia Division of Consolidated Lab Service,2024-06-27,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-OR544.8M%3A20240521%3A1330%3ASFST/results/1046729201/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR640M:20240521:1030:QFB,2024-05-21,10:30:00,EDT,31ORWUNT_WQX-OR640M,STORET-1046729601,,Not Detected,,Sodium,"Filtered, field",,,U,Final,,Actual,,,,,,,,,,LF based on DCLS 'T' qualifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,,https://www.nemi.gov/methods/method_summary/4690/,Virginia Division of Consolidated Lab Service,2024-06-21,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-OR640M%3A20240521%3A1030%3AQFB/results/1046729601/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR387.0BACT45440:SR,2024-05-28,,,31ORWUNT_WQX-OR387.0BACT,STORET-1052769873,,,,Escherichia coli,Filterable,1236,MPN,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223-B,APHA,9223 B ~ Enzyme substrate assay for measuring total coliforms and E. coli (ONPG-MUG test or CPRG-MUG test),,DATA,https://www.nemi.gov/methods/method_summary/5583/,,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-OR387.0BACT45440%3ASR/results/1052769873/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-LR-4.5M:20240508:1035:FM,2024-05-08,10:35:00,EDT,31ORWUNT_WQX-LR-4.5M,STORET-1046626667,,,,Turbidity,,185.14,NTU,,Final,,Actual,,,,,,,,,,"PACE Lab ID is 4053497-02, User Supplied Activity ID changed to conform with Activity ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,120.1,YSI,Direct Measurement Method,,,,"Pace Analytical Services, LLC",2024-05-08,,,,,,,,,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR4495M:20240523:1330:FM,2024-05-23,13:30:00,EDT,31ORWUNT_WQX-OR4495M,STORET-1046627153,,,,Turbidity,,14.26,NTU,,Final,,Actual,,,,,,,,,,"PACE Lab ID is 4055642-01, User Supplied Activity ID changed to conform with Activity ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,120.1,YSI,Direct Measurement Method,,,,"Pace Analytical Services, LLC",2024-05-23,,,,,,,,,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR640M:20240521:1030:SFST,2024-05-21,10:30:00,EDT,31ORWUNT_WQX-OR640M,STORET-1046729619,,Between Inst Detect and Quant Limit,,Selenium,"Filtered, field",,,EST,Accepted,,Actual,,,,,,,,,,LF based on DCLS QQ qualifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,,https://www.nemi.gov/methods/method_summary/4665/,Virginia Division of Consolidated Lab Service,2024-06-27,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-OR640M%3A20240521%3A1030%3ASFST/results/1046729619/resdetectqntlmts,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BISO_16_20240625_1122_F,2024-06-25,11:58:00,EDT,11NPSWRD_WQX-BISO_16,STORET-1056977532,,,,"Temperature, water",,29.386,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APHN_YSIEXO,11NPSWRD_WQX,YSI EXO Multi-parameter Sonde,,,,,,,,,,,,,,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-IN604BHAB:OH-MLD531.5:20240409:1130:SR:WB:NN,2024-04-09,11:30:00,EST,31ORWUNT_WQX-OH-MLD531.5,STORET-1047027449,,,as N,Nitrate + Nitrite,Total,0.83,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-NO3(F),APHA,4500 NO3 F ~ Nitrate in Water- Automated Cadmium Reduction,,,https://www.nemi.gov/methods/method_summary/7416/,,2024-04-16,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-IN604BHAB%3AOH-MLD531.5%3A20240409%3A1130%3ASR%3AWB%3ANN/results/1047027449/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR544.8M:20240521:1330:SFST,2024-05-21,13:30:00,EDT,31ORWUNT_WQX-OR544.8M,STORET-1046729212,,Between Inst Detect and Quant Limit,,Thallium,"Filtered, field",,,EST,Accepted,,Actual,,,,,,,,,,LF based on DCLS QQ qualifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,,https://www.nemi.gov/methods/method_summary/4665/,Virginia Division of Consolidated Lab Service,2024-06-27,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-OR544.8M%3A20240521%3A1330%3ASFST/results/1046729212/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-IN604BHAB:OH-MLD531.5:20240528:1000:SR:WB:P,2024-05-28,10:00:00,EST,31ORWUNT_WQX-OH-MLD531.5,STORET-1047027494,,,as P,Phosphorus,Total,0.055,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,,https://www.nemi.gov/methods/method_summary/4690/,,2024-06-07,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-IN604BHAB%3AOH-MLD531.5%3A20240528%3A1000%3ASR%3AWB%3AP/results/1047027494/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-KY4.1M:20240501:1000:SR,2024-05-01,10:00:00,EDT,31ORWUNT_WQX-KY4.1M,STORET-1046626525,,Not Detected,as N,Kjeldahl nitrogen,Total,,,U,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.2,USEPA,351.2 ~ EPA; Total Kjeldahl Nitrogen by Colorimetry,,,https://www.nemi.gov/methods/method_summary/9626/,"Pace Analytical Services, LLC",2024-05-13,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-KY4.1M%3A20240501%3A1000%3ASR/results/1046626525/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-KY4.1M:20240501:1020:QFR,2024-05-01,10:20:00,EDT,31ORWUNT_WQX-KY4.1M,STORET-1046626547,,,,Phenols,Total,0.004,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.4,USEPA,Total Recoverable Phenolics in Water,,,https://www.nemi.gov/methods/method_summary/9630/,"Pace Analytical Services, LLC",2024-05-13,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ABLI_KCKC_202405090001Q/1^01,2024-05-09,12:05:00,EDT,11NPSWRD_WQX-ABLI_KCKC,STORET-1056172898,,,,"Temperature, water",,15.5,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1,USEPA,Temperature,,,https://www.nemi.gov/methods/method_summary/5216/,,,,,,,,,,,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR640M:20240521:1030:QFB,2024-05-21,10:30:00,EDT,31ORWUNT_WQX-OR640M,STORET-1046729606,,Not Detected,,Magnesium,"Filtered, field",,,U,Final,,Actual,,,,,,,,,,LF based on DCLS 'T' qualifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,,https://www.nemi.gov/methods/method_summary/4665/,Virginia Division of Consolidated Lab Service,2024-06-21,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-OR640M%3A20240521%3A1030%3AQFB/results/1046729606/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR544.8M:20240521:1330:SRR,2024-05-21,13:30:00,EDT,31ORWUNT_WQX-OR544.8M,STORET-1046729236,,,as CaCO3,"Hardness, Ca, Mg","Unfiltered, field",138,mg/L,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,,https://www.nemi.gov/methods/method_summary/4690/,Virginia Division of Consolidated Lab Service,2024-06-17,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ABLI_NBKC_202405090001^01,2024-05-09,11:51:00,EDT,11NPSWRD_WQX-ABLI_NBKC,STORET-1056172964,,,,"Temperature, water",,15.3,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1,USEPA,Temperature,,,https://www.nemi.gov/methods/method_summary/5216/,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BISO_16_20240625_1122_T,2024-06-25,11:58:00,EDT,11NPSWRD_WQX-BISO_16,STORET-1056977534,,Not Detected,,Aluminum,Dissolved,,mg/L,,Final,,Actual,,,,,,,,,,Reported Value: 0.02880589963.,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120,APHA,Metals in Water by ICP,,,,University of Tennessee Water Quality Core Facility,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-BISO_16_20240625_1122_T/results/1056977534/resdetectqntlmts,Y,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR387.0BACT45447:SR,2024-06-04,,,31ORWUNT_WQX-OR387.0BACT,STORET-1052769874,,,,Escherichia coli,Filterable,31,MPN,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223-B,APHA,9223 B ~ Enzyme substrate assay for measuring total coliforms and E. coli (ONPG-MUG test or CPRG-MUG test),,DATA,https://www.nemi.gov/methods/method_summary/5583/,,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-OR387.0BACT45447%3ASR/results/1052769874/resdetectqntlmts,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BISO_12_20240514_1076_T,2024-05-14,10:35:00,EDT,11NPSWRD_WQX-BISO_12,STORET-1056976026,,,,Calcium,Dissolved,5.79985,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120,APHA,Metals in Water by ICP,,,,University of Tennessee Water Quality Core Facility,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-BISO_12_20240514_1076_T/results/1056976026/resdetectqntlmts,Y,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR640M:20240521:1030:SFST,2024-05-21,10:30:00,EDT,31ORWUNT_WQX-OR640M,STORET-1046729624,,Between Inst Detect and Quant Limit,,Zinc,"Filtered, field",,,EST,Accepted,,Actual,,,,,,,,,,LF based on DCLS QQ qualifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,,https://www.nemi.gov/methods/method_summary/4665/,Virginia Division of Consolidated Lab Service,2024-06-27,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-OR640M%3A20240521%3A1030%3ASFST/results/1046729624/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR640M:20240521:1030:FM,2024-05-21,10:30:00,EDT,31ORWUNT_WQX-OR640M,STORET-1046627368,,,,Turbidity,,16.36,NTU,,Final,,Actual,,,,,,,,,,"PACE Lab ID is 4055245-01, User Supplied Activity ID changed to conform with Activity ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,120.1,YSI,Direct Measurement Method,,,,"Pace Analytical Services, LLC",2024-05-21,,,,,,,,,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR4495M:20240523:1330:SFST,2024-05-23,13:30:00,EDT,31ORWUNT_WQX-OR4495M,STORET-1046729057,,Not Detected,,Lead,"Filtered, field",,,U,Final,,Actual,,,,,,,,,,LF based on DCLS 'T' qualifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,,https://www.nemi.gov/methods/method_summary/4665/,Virginia Division of Consolidated Lab Service,2024-07-03,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-OR4495M%3A20240523%3A1330%3ASFST/results/1046729057/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-LR-4.5M:20240508:1035:SR,2024-05-08,10:35:00,EDT,31ORWUNT_WQX-LR-4.5M,STORET-1046626681,,,as SO4,Sulfate,Total,14.7,mg/L,,Final,,Actual,,,,,,,,,,"PACE Lab ID is 4053497-02, User Supplied Activity ID changed to conform with Activity ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-CL-(E),APHA,4500 CL E  ~ Chloride in Water by Colorimetry- Automated Ferricyanide Method,,DATA,https://www.nemi.gov/methods/method_summary/9720/,"Pace Analytical Services, LLC",2024-05-15,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BISO_12_20240514_1076_T,2024-05-14,10:35:00,EDT,11NPSWRD_WQX-BISO_12,STORET-1056976028,,,,Iron,Dissolved,0.03245,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120,APHA,Metals in Water by ICP,,,,University of Tennessee Water Quality Core Facility,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-BISO_12_20240514_1076_T/results/1056976028/resdetectqntlmts,Y,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR374.2M:20240523:1030:SFST,2024-05-23,10:30:00,EDT,31ORWUNT_WQX-OR374.2M,STORET-1046728890,,Between Inst Detect and Quant Limit,,Arsenic,"Filtered, field",,,EST,Accepted,,Actual,,,,,,,,,,LF based on DCLS QQ qualifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,,https://www.nemi.gov/methods/method_summary/4665/,Virginia Division of Consolidated Lab Service,2024-07-03,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-OR374.2M%3A20240523%3A1030%3ASFST/results/1046728890/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR374.2M:20240523:1030:QFB,2024-05-23,10:30:00,EDT,31ORWUNT_WQX-OR374.2M,STORET-1046728869,,Not Detected,,Chromium,"Filtered, field",,,U,Final,,Actual,,,,,,,,,,LF based on DCLS 'T' qualifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,,https://www.nemi.gov/methods/method_summary/4665/,Virginia Division of Consolidated Lab Service,2024-06-21,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-OR374.2M%3A20240523%3A1030%3AQFB/results/1046728869/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR640M:20240521:1030:SFST,2024-05-21,10:30:00,EDT,31ORWUNT_WQX-OR640M,STORET-1046729617,,Between Inst Detect and Quant Limit,,Mercury,"Filtered, field",,,EST,Accepted,,Actual,,,,,,,,,,LF based on DCLS QQ qualifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.7,USEPA,Mercury in water by cold-vapor atomic fluorescence spectrometry,,,https://www.nemi.gov/methods/method_summary/9629/,Virginia Division of Consolidated Lab Service,2024-07-02,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-OR640M%3A20240521%3A1030%3ASFST/results/1046729617/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-LR-4.5M:20240508:1035:FM,2024-05-08,10:35:00,EDT,31ORWUNT_WQX-LR-4.5M,STORET-1046626664,,,,pH,,7.82,None,,Final,,Actual,,,,,,,,,,"PACE Lab ID is 4053497-02, User Supplied Activity ID changed to conform with Activity ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,120.1,YSI,Direct Measurement Method,,,,"Pace Analytical Services, LLC",2024-05-08,,,,,,,,,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-IN604BHAB:OH-MLD531.5:20240523:1230:SR:WB:NN,2024-05-23,12:30:00,EST,31ORWUNT_WQX-OH-MLD531.5,STORET-1047027485,,,as N,Nitrate + Nitrite,Total,1.17,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-NO3(F),APHA,4500 NO3 F ~ Nitrate in Water- Automated Cadmium Reduction,,,https://www.nemi.gov/methods/method_summary/7416/,,2024-06-04,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-IN604BHAB%3AOH-MLD531.5%3A20240523%3A1230%3ASR%3AWB%3ANN/results/1047027485/resdetectqntlmts,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR544.8M:20240521:1330:SRR,2024-05-21,13:30:00,EDT,31ORWUNT_WQX-OR544.8M,STORET-1046729229,,,,Mercury,"Unfiltered, field",1.8,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.7,USEPA,Mercury in water by cold-vapor atomic fluorescence spectrometry,,,https://www.nemi.gov/methods/method_summary/9629/,Virginia Division of Consolidated Lab Service,2024-07-02,,,,,,,,,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR640M:20240521:1030:SO,2024-05-21,10:30:00,EDT,31ORWUNT_WQX-OR640M,STORET-1046729592,,,,Volatile suspended solids,Unfiltered,3,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I-3767-85,USDOI/USGS,"Solids, volatile-on-ignition, suspended, gravimetric",,,,Virginia Division of Consolidated Lab Service,2024-05-24,,,,,,,,,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR4495M:20240523:1330:SFST,2024-05-23,13:30:00,EDT,31ORWUNT_WQX-OR4495M,STORET-1046729055,,,,Manganese,"Filtered, field",9.52,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,,https://www.nemi.gov/methods/method_summary/4690/,Virginia Division of Consolidated Lab Service,2024-07-03,,,,,,,,,,,,,,STORET
31ORWUNT_WQX,Ohio River Valley Water Sanitation Commission (ORSANCO),31ORWUNT_WQX-OR4495M:20240523:1330:SFST,2024-05-23,13:30:00,EDT,31ORWUNT_WQX-OR4495M,STORET-1046729050,,Not Detected,,Silver,"Filtered, field",,,U,Final,,Actual,,,,,,,,,,LF based on DCLS 'T' qualifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,,https://www.nemi.gov/methods/method_summary/4665/,Virginia Division of Consolidated Lab Service,2024-07-03,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/31ORWUNT_WQX/activities/31ORWUNT_WQX-OR4495M%3A20240523%3A1330%3ASFST/results/1046729050/resdetectqntlmts,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BISO_12_20240514_1076_T^01,2024-05-14,10:35:00,EDT,11NPSWRD_WQX-BISO_12,STORET-1056976041,,,as NO2,Nitrite,Dissolved,0.01826,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4110-B,APHA,4110 B ~ Anions in Water by Ion Chromatography,,,https://www.nemi.gov/methods/method_summary/7428/,University of Tennessee Water Quality Core Facility,,,,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-BISO_12_20240514_1076_T%5E01/results/1056976041/resdetectqntlmts,Y,,,,,STORET
